Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,204.825,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,210.041,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,238.363,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,205.416,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,201.039,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,205.788,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,206.682,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,192.839,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,211.448,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,198.435,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,197.265,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,193.677,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,8,*,*,*
pl1.6test.edu.cn,8,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,203.535,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,192.616,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,195.801,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,220.595,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,200.915,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,204.802,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,207.609,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,198.170,*,*

pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,5,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
pl1.6test.edu.cn,7,*,*,*
